105121481662541824	#dexter	3
104319460143415296	#dexter	5
103641916586999808	#dexter	5
100544750414864384	#dexter	3
102220476499243008	#dexter	3
101769300683141120	#dexter	5
100395522971545601	#dexter	4
103277622636716032	#dexter	5
106222697310208000	#dexter	5
104653618153668609	#dexter	3
102976668825698305	#dexter	4
105076027692302336	#dexter	5
103748679004987392	#dexter	5
103535459300413440	#dexter	5
100018263337078785	#dexter	4
107551816442585088	#dexter	5
107641819298406400	#dexter	5
103610752316870656	#dexter	4
107355493328101376	#dexter	5
263484862076420097	a$ap rocky	4
263160058911789056	a$ap rocky	4
264029423173521408	a$ap rocky	4
263150115269779456	a$ap rocky	4
263340308211851264	a$ap rocky	4
264106557392973824	a$ap rocky	3
263048213001535488	a$ap rocky	5
263150010542202880	a$ap rocky	5
263069843765469184	a$ap rocky	2
264082200927031297	a$ap rocky	4
105709609825746945	aaron rodgers	4
102554002209783809	aaron rodgers	3
100047175236583424	aaron rodgers	3
100000950005145600	aaron rodgers	3
104742390924972033	aaron rodgers	4
100756040320159744	aaron rodgers	3
100726593525268481	aaron rodgers	5
106260169549283328	aaron rodgers	3
102948594402856961	aaron rodgers	5
101076499108597760	aaron rodgers	5
101134998102487040	aaron rodgers	4
102525039630483456	aaron rodgers	3
102115800701337600	aaron rodgers	5
106146612077793281	aaron rodgers	3
104320830338641920	aaron rodgers	4
102419013056999424	aaron rodgers	5
263450462806765568	abs-cbn	3
263092466788487168	abs-cbn	3
263841569164128256	abs-cbn	3
262389438074728448	abs-cbn	4
262851655312228352	abs-cbn	5
264250857401503744	abu dhabi time	3
264244081046200322	abu dhabi time	3
264254250736046081	abu dhabi time	3
264074811251253249	abu dhabi time	3
264206129767276544	abu dhabi time	3
264228902195589120	abu dhabi time	3
264258285136408577	abu dhabi time	3
264228911230111744	abu dhabi time	3
264217895452672000	abu dhabi time	3
264232597973000192	abu dhabi time	3
262985621721739264	academy awards	3
255379961223974912	academy awards	3
253047415844782080	academy awards	3
258221308767256577	academy awards	3
258963620975759360	academy awards	3
264173733625884674	academy awards	3
259133354803339265	academy awards	3
264185956305883136	act	2
264159409800871936	act	3
263893912748425216	act	3
264153529374097408	act	3
264093407897583616	act	3
263712379831992320	adidas	3
263836398925271042	adidas	3
263727703193186304	adidas	4
264124093958340609	adidas	4
264230608195186689	adidas	2
264230311376863232	adidas	4
223577094762921984	adrienne arsht center	4
257979710800273408	adrienne arsht center	4
258275049075769344	adrienne arsht center	4
230787492394201088	adrienne arsht center	4
255782672662671360	adrienne arsht center	3
227552643818598400	adrienne arsht center	4
222479870125539329	adrienne arsht center	4
259651417738981376	adrienne arsht center	4
223819688239562752	adrienne arsht center	4
248438899649699840	afghans	2
248713116181991424	afghans	3
248788478475792384	afghans	3
248915569829613568	afghans	3
253560294452895744	afghans	3
263677355229315075	afghans	3
263438636350054403	bill murray	4
262384414623936512	bill murray	3
263235196516700160	bill murray	5
261864089171685376	bill murray	5
253306921002606592	billy crystal	3
257710438786150401	billy crystal	3
253417870481047552	billy crystal	3
254246440627486723	billy crystal	4
261256251416117249	billy crystal	5
254267206832111616	billy crystal	5
255429956765638657	billy cundiff	2
255732290246815744	billy cundiff	1
258380233827303424	billy cundiff	1
231779680938766336	birthday cake	5
247522166663417858	birthday cake	3
221050208165957633	birthday cake	3
254863769396715520	birthday cake	4
262628723663192065	bkk	3
263295190767370240	bkk	3
263589560934625280	bkk	3
263574574950670336	bkk	3
263525256411639808	bkk	3
263825437728325632	bkk	3
262773238592053248	bkk	3
264233217870155777	bkk	3
252727217841397760	black dahlia	4
260961069923721216	black dahlia	5
249307712268148736	black dahlia	5
216442580437700609	black dahlia murder	5
249820498089873408	black dahlia murder	5
247862992224530432	black dahlia murder	4
246458814767980544	black dahlia murder	5
246632687710904321	black dahlia murder	4
222971666609872896	black dahlia murder	4
262806392929415169	black triangle sighting	3
262344808381693952	black triangle sighting	3
263326353594662913	black triangle sighting	3
261697954472161280	black triangle sighting	3
263326357633777664	black triangle sighting	3
261693801532379136	black triangle sighting	3
261697956787400704	black triangle sighting	3
262520401773592576	black triangle sighting	3
262806394321903616	black triangle sighting	3
261944802126483456	black triangle sighting	3
109001185259819008	boehner	1
109002622928822273	boehner	2
106071742820265984	boehner	2
109002873697878016	boehner	2
109002569942175744	boehner	2
109001043232305152	boehner	2
101029173702819842	boehner	2
104032618705715200	boehner	2
108155250438967296	boise state	3
101483692534411264	boise state	2
108262556258402304	boise state	4
101755634101403649	boise state	3
106963409085542401	boise state	4
102191503388053505	boise state	3
108612731321593856	boise state	4
